Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Small Business Inventory Spreadsheet | Stock In Stock Out and On Hand | Sheets Excel,,Small Business Inventory and Stock Control,,"An inventory spreadsheet for small businesses. Log deliveries and sales on two tabs and the on hand figure, stock value and reorder list keep themselves up to date.",[WAITING FOR LISTING URL]#pin-1,2026-07-31,"small business inventory, stock control sheet, inventory tracker, stock spreadsheet"
Stock In and Stock Out Log Spreadsheet | Simple Inventory Movements | Google Sheets,,Small Business Inventory and Stock Control,,"Two movement tabs are the entire routine. Date, SKU, quantity and a reference. Everything else in the workbook is calculated from those lines.",[WAITING FOR LISTING URL]#pin-2,2026-07-31,"stock control sheet, inventory log, stock movements, small business inventory, sheets"
Automatic Stock On Hand Spreadsheet | Inventory Formulas Built In | Sheets and Excel,,Google Sheets Templates,,"The Stock On Hand tab is entirely formulas. It reads your movements and returns quantity on hand, status against the reorder point, unit cost and total stock value.",[WAITING FOR LISTING URL]#pin-3,2026-07-31,"google sheets templates, inventory formulas, stock on hand, automatic spreadsheet"
Reorder Point Tracker for Etsy Sellers | Low Stock Alerts Spreadsheet | Sheets Excel,,Etsy Seller Spreadsheets,,"Set a reorder point per product and the status column turns LOW, then OUT OF STOCK. The Reorder List gathers everything due, grouped by supplier with a suggested quantity.",[WAITING FOR LISTING URL]#pin-4,2026-07-31,"etsy seller spreadsheet, reorder point, low stock alert, inventory tracker, shop tools"
Stock Count and Variance Spreadsheet | Physical Count vs System | Google Sheets Excel,,Small Business Inventory and Stock Control,,"Type what you counted beside what the system says. The variance calculates, and anything outside your tolerance is flagged CHECK so you look at it twice.",[WAITING FOR LISTING URL]#pin-5,2026-07-31,"stock count sheet, inventory audit, stocktake template, variance report, stock control"
Supplier List Spreadsheet for Makers | Lead Times and Minimum Orders | Sheets Excel,,Craft Business Tools,,"Keep every supplier, contact, lead time and minimum order in one tab. The reorder list uses those lead times, so you order early instead of running dry.",[WAITING FOR LISTING URL]#pin-6,2026-07-31,"craft business tools, supplier list, lead time tracker, maker spreadsheet, small shop"
Stock Value Spreadsheet by Category | Inventory Valuation for Small Business | Excel,,Small Business Bookkeeping,,"See what your stock is worth, broken down by category, valued at cost or at sale price. Useful at year end and useful the moment you wonder where the cash went.",[WAITING FOR LISTING URL]#pin-7,2026-07-31,"small business bookkeeping, stock valuation, inventory value, year end accounts, excel"
Track Shrinkage and Damaged Stock | Reason Codes on Every Movement | Spreadsheet,,Small Business Inventory and Stock Control,,"Every unit leaving carries a reason, so damage, samples and personal use stop hiding inside your sales figures. The dashboard totals each reason for the period.",[WAITING FOR LISTING URL]#pin-8,2026-07-31,"stock control sheet, shrinkage tracking, damaged stock, inventory losses, small business"
Inventory Spreadsheet with No Subscription | Google Sheets and Excel | One Payment,,Google Sheets Templates,,"No inventory app, no login, no monthly fee. One workbook with a How To tab that answers the five questions people actually ask, written in plain English.",[WAITING FOR LISTING URL]#pin-9,2026-07-31,"google sheets templates, no subscription, inventory spreadsheet, small business tools"
Inventory Template for 1000 Products | Small Business Stock Spreadsheet | Sheets Excel,,Small Business Bookkeeping,,"Room for a thousand products and two thousand stock movements, with suppliers, counts and a dashboard. One small payment, no subscription, yours forever.",[WAITING FOR LISTING URL]#pin-10,2026-07-31,"small business bookkeeping, inventory template, stock spreadsheet, instant download"
